credit_limit,gender,education,marital_status,age,pay_status_1,pay_status_2,pay_status_3,pay_status_4,pay_status_5,pay_status_6,bill_amount_1,bill_amount_2,bill_amount_3,bill_amount_4,bill_amount_5,bill_amount_6,payment_amount_1,payment_amount_2,payment_amount_3,payment_amount_4,payment_amount_5,payment_amount_6,default_next_month,num_delayed_payments,max_payment_delay,avg_payment_delay,recent_payment_delay,avg_bill_amount,avg_payment_amount,total_bill_amount,total_payment_amount,payment_to_bill_ratio,credit_utilization,avg_positive_bill,payment_std,recent_payment_amount,recent_bill_amount,recent_payment_ratio,payment_behavior_score,payment_success,payment_failure
20000,2,2,1,24,2,2,-1,-1,-2,-2,3913,3102,689,0,0,0,0,689,0,0,0,0,1,2,2,0.6666666666666666,2,1284.0,114.83333333333333,7704,689,0.08943406022845275,0.0642,1284.0,281.2830721296016,0,3913,0.0,0.9166666666666666,0,1
120000,2,2,2,26,-1,2,0,0,0,2,2682,1725,2682,3272,3455,3261,0,1000,1000,1000,0,2000,1,2,2,0.6666666666666666,0,2846.1666666666665,833.3333333333334,17077,5000,0.29279147391227967,0.023718055555555555,2846.1666666666665,752.772652709081,0,2682,0.0,0.9166666666666666,0,1
90000,2,2,2,34,0,0,0,0,0,0,29239,14027,13559,14331,14948,15549,1518,1500,1000,1000,1000,5000,0,0,0,0.0,0,16942.166666666668,1836.3333333333333,101653,11018,0.10838834072776997,0.1882462962962963,16942.166666666668,1569.815488096186,1518,29239,0.05191696022435788,1.0,1,0
50000,2,2,1,37,0,0,0,0,0,0,46990,48233,49291,28314,28959,29547,2000,2019,1200,1100,1069,1000,0,0,0,0.0,0,38555.666666666664,1398.0,231334,8388,0.03625926150068732,0.7711133333333333,38555.666666666664,478.05815545809907,2000,46990,0.04256224728665674,1.0,1,0
50000,1,2,1,57,-1,0,-1,0,0,0,8617,5670,35835,20940,19146,19131,2000,36681,10000,9000,689,679,0,0,0,0.0,0,18223.166666666668,9841.5,109339,59049,0.5400543264525924,0.36446333333333336,18223.166666666668,13786.23073577401,2000,8617,0.23209933851688522,1.0,1,0
50000,1,1,2,37,0,0,0,0,0,0,64400,57069,57608,19394,19619,20024,2500,1815,657,1000,1000,800,0,0,0,0.0,0,39685.666666666664,1295.3333333333333,238114,7772,0.032639827981555056,0.7937133333333333,39685.666666666664,713.9388395840828,2500,64400,0.03881987577639751,1.0,1,0
500000,1,1,2,29,0,0,0,0,0,0,367965,412023,445007,542653,483003,473944,55000,40000,38000,20239,13750,13770,0,0,0,0.0,0,454099.1666666667,30126.5,2724595,180759,0.06634343819907179,0.9081983333333333,454099.1666666667,16802.717086828547,55000,367965,0.14947073770603184,1.0,1,0
100000,2,2,2,23,0,-1,-1,0,0,-1,11876,380,601,221,-159,567,380,601,0,581,1687,1542,0,0,0,0.0,0,2247.6666666666665,798.5,13486,4791,0.3552573038706807,0.022741666666666664,2274.1666666666665,669.5194545343697,380,11876,0.03199730549006399,1.0,1,0
140000,2,3,1,28,0,0,2,0,0,0,11285,14096,12108,12211,11793,3719,3329,0,432,1000,1000,1000,0,1,2,0.3333333333333333,0,10868.666666666666,1126.8333333333333,65212,6761,0.10367723731828497,0.07763333333333333,10868.666666666666,1153.286159921581,3329,11285,0.29499335400974747,0.9583333333333334,1,0
20000,1,3,2,35,-2,-2,-2,-2,-1,-1,0,0,0,0,13007,13912,0,0,0,13007,1122,0,0,0,0,0.0,0,4486.5,2354.8333333333335,26919,14129,0.5248709090233664,0.224325,4486.5,5237.737924587928,0,0,0.0,1.0,1,0
